Rank,Team,Year,정렬,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
1,SK,19,35.27,144,144,484,144,0,0,88,55,51,92,1292.1,500,546,546.00,5463,1240,,,99,436,50,12,1092,,4,50,3.48,3.80,3.80,3.74,1.30,35.27
2,KT,22,34.25,144,144,444,144,1,1,80,62,37,65,1287.1,502,562,562.00,5405,1243,,,92,364,63,22,1074,,3,43,3.51,3.93,3.93,3.52,1.25,34.25
3,KT,21,33.49,144,144,470,144,2,2,76,59,33,74,1264.0,515,584,584.00,5397,1176,,,86,489,42,18,1062,,1,56,3.67,4.16,4.16,3.66,1.32,33.49
4,LG,22,32.29,144,144,604,144,0,0,87,55,43,107,1288.0,476,521,521.00,5432,1179,,,94,451,59,27,1031,,0,49,3.33,3.64,3.64,3.82,1.27,32.29
5,SK,09,32.14,133,133,423,133,2,0,80,47,33,34,1213.0,496,550,550.00,5203,1141,,,130,519,54,34,1032,,3,68,3.68,4.08,4.08,4.23,1.37,32.14
6,롯데,17,31.25,144,144,479,144,1,0,80,62,39,59,1287.1,652,701,701.00,5634,1357,,,162,477,79,25,1096,,7,67,4.56,4.90,4.90,4.84,1.42,31.25
7,KT,23,31.04,144,144,450,144,0,0,79,62,39,61,1287.0,564,616,616.00,5542,1326,,,83,413,50,22,968,,4,63,3.94,4.31,4.31,3.79,1.35,31.04
8,LG,21,30.35,144,144,553,144,0,0,72,58,32,81,1272.1,505,561,561.00,5453,1126,,,80,545,98,18,1068,,5,43,3.57,3.97,3.97,3.88,1.31,30.35
9,NC,15,30.28,144,144,490,144,1,0,84,57,37,55,1279.1,605,655,655.00,5536,1283,,,149,436,113,13,1057,,3,60,4.26,4.61,4.61,4.66,1.34,30.28
10,NC,16,30.17,144,144,484,144,0,0,83,58,36,62,1286.1,640,690,690.00,5643,1314,,,137,516,86,2,1147,,7,84,4.48,4.83,4.83,4.69,1.42,30.17
11,두산,16,29.92,144,144,435,144,2,2,93,50,36,55,1287.2,636,682,682.00,5658,1385,,,136,498,77,7,982,,4,66,4.45,4.77,4.77,4.94,1.46,29.92
12,삼성,24,29.76,144,144,558,144,2,1,78,64,41,116,1282.2,667,719,719.00,5684,1384,,,164,477,81,18,980,,2,58,4.68,5.04,5.04,5.08,1.45,29.76
13,키움,19,29.63,144,144,467,144,2,2,86,57,39,91,1279.0,513,572,572.00,5427,1293,,,61,371,58,3,984,,6,45,3.61,4.03,4.03,3.44,1.30,29.63
14,SK,08,29.41,126,126,483,126,1,1,83,43,43,72,1151.0,412,461,461.00,4855,1053,,,78,448,55,13,801,,2,35,3.22,3.60,3.60,3.96,1.30,29.41
15,삼성,10,29.34,133,133,439,133,2,1,79,52,33,44,1193.2,523,575,575.00,5119,1168,,,103,453,54,11,951,,3,61,3.94,4.34,4.34,4.05,1.36,29.34
16,NC,20,29.07,144,144,592,144,0,0,83,55,31,88,1296.2,660,714,714.00,5690,1292,,,153,547,79,10,1049,,7,65,4.58,4.96,4.96,4.86,1.42,29.07
17,두산,19,28.95,144,144,477,144,3,0,88,55,44,69,1283.2,500,550,550.00,5434,1259,,,78,380,70,22,860,,5,48,3.51,3.86,3.86,3.87,1.28,28.95
18,두산,05,28.94,126,126,390,126,3,2,72,51,33,51,1125.0,427,465,465.00,4774,1038,,,90,440,77,13,818,,2,56,3.42,3.72,3.72,3.94,1.31,28.94
19,SK,10,28.74,133,133,416,133,2,1,84,47,36,39,1198.1,496,545,545.00,5114,1074,,,117,543,47,27,1091,,2,80,3.73,4.09,4.09,4.08,1.35,28.74
20,KT,20,28.71,144,144,521,144,0,0,81,62,33,71,1290.1,651,715,715.00,5680,1357,,,118,523,59,20,848,,1,75,4.54,4.99,4.99,4.78,1.46,28.71
21,삼성,11,28.47,133,133,399,133,1,1,79,50,48,74,1196.1,445,513,513.00,5077,1191,,,92,395,38,8,841,,5,40,3.35,3.86,3.86,3.88,1.33,28.47
22,SK,18,28.36,144,144,490,144,0,0,78,65,29,63,1274.2,662,729,729.00,5563,1353,,,189,425,74,15,1130,,2,62,4.67,5.15,5.15,5.00,1.39,28.36
23,SSG,22,28.05,144,144,454,144,1,0,88,52,45,68,1301.1,560,622,622.00,5533,1223,,,130,457,65,18,1023,,2,75,3.87,4.30,4.30,4.25,1.29,28.05
24,KIA,09,27.78,133,133,347,133,4,0,81,48,38,36,1199.0,522,581,581.00,5176,1178,,,108,441,83,22,893,,2,22,3.92,4.36,4.36,4.17,1.35,27.78
25,NC,19,27.68,144,144,501,144,5,2,73,69,32,68,1284.1,572,631,631.00,5578,1285,,,103,483,92,10,991,,2,68,4.01,4.42,4.42,4.17,1.38,27.68
26,넥센,16,27.34,144,144,464,144,0,0,77,66,38,74,1280.1,705,757,757.00,5684,1487,,,152,435,68,3,895,,3,50,4.96,5.32,5.32,5.05,1.50,27.34
27,NC,14,27.19,128,128,451,128,4,1,70,57,31,59,1135.2,541,608,608.00,5003,1174,,,117,481,73,8,848,,5,50,4.29,4.82,4.82,5.04,1.46,27.19
28,SK,05,27.12,126,126,397,126,2,2,70,50,27,50,1137.0,432,485,485.00,4822,1005,,,103,422,99,14,843,,1,31,3.42,3.84,3.84,4.04,1.26,27.12
29,NC,23,26.94,144,144,544,144,0,0,75,67,33,88,1281.1,545,617,617.00,5493,1160,,,99,513,62,6,1090,,3,58,3.83,4.33,4.33,3.99,1.31,26.94
30,삼성,21,26.94,144,143,532,144,2,1,76,59,46,80,1259.0,601,658,658.00,5536,1297,,,131,530,51,13,1038,,3,58,4.30,4.70,4.70,4.22,1.45,26.94
31,삼성,12,26.86,133,133,389,133,3,0,80,51,39,71,1187.2,448,473,473.00,4941,1085,,,65,384,37,14,885,,5,46,3.39,3.58,3.58,3.31,1.24,26.86
32,삼성,15,26.86,144,144,433,144,4,1,88,56,34,60,1275.1,665,716,716.00,5523,1323,,,182,423,64,11,1194,,2,44,4.69,5.05,5.05,4.54,1.37,26.86
33,삼성,14,26.76,128,128,415,128,3,1,78,47,35,65,1144.0,575,621,621.00,4990,1217,,,120,395,61,11,996,,3,51,4.52,4.89,4.89,4.48,1.41,26.76
34,삼성,18,26.68,144,144,473,144,0,0,68,72,33,56,1285.1,741,802,802.00,5740,1477,,,185,441,107,10,1114,,5,45,5.19,5.62,5.62,5.16,1.49,26.68
35,두산,17,26.55,144,144,446,144,3,2,84,57,35,46,1288.0,627,678,678.00,5682,1405,,,125,464,87,11,956,,4,54,4.38,4.74,4.74,4.78,1.45,26.55
36,두산,18,26.43,144,144,471,144,1,0,93,51,41,56,1288.2,713,756,756.00,5700,1401,,,154,476,109,17,1025,,2,72,4.98,5.28,5.28,5.13,1.46,26.43
37,롯데,20,26.13,144,144,545,144,1,0,71,72,25,59,1277.1,659,720,720.00,5583,1351,,,143,447,58,25,1002,,4,62,4.64,5.07,5.07,4.48,1.41,26.13
38,LG,23,26.11,144,144,593,144,0,0,86,56,37,92,1293.1,527,610,610.00,5619,1266,,,74,491,76,15,977,,5,47,3.67,4.24,4.24,3.98,1.36,26.11
39,삼성,20,25.97,144,144,554,144,3,1,64,75,25,80,1272.1,676,745,745.00,5634,1330,,,151,542,67,16,931,,5,55,4.78,5.27,5.27,4.95,1.47,25.97
40,LG,17,25.76,144,144,475,144,4,1,69,72,32,66,1279.0,611,677,677.00,5507,1305,,,124,379,102,31,1040,,3,81,4.30,4.76,4.76,4.38,1.32,25.76
41,KIA,17,25.39,144,144,438,144,5,2,87,56,33,46,1290.0,687,743,743.00,5748,1518,,,137,434,77,22,985,,4,69,4.79,5.18,5.18,4.71,1.51,25.39
42,롯데,24,25.31,144,144,574,144,1,1,66,74,30,58,1280.2,719,791,791.00,5767,1442,,,139,523,75,18,1131,,3,81,5.05,5.56,5.56,4.64,1.53,25.31
43,키움,22,25.28,144,144,505,144,2,1,80,62,48,84,1296.1,546,610,610.00,5579,1247,,,96,490,70,18,1010,,1,51,3.79,4.24,4.24,4.03,1.34,25.28
44,두산,07,25.26,126,126,371,126,6,4,70,54,30,42,1131.1,434,480,480.00,4814,1067,,,74,399,75,24,721,,4,43,3.45,3.82,3.82,3.59,1.30,25.26
